title,label
removable batteries in smartphones will be mandatory in the eu starting in 2027,0
redis array: short story of a long development process,0
github is down,0
talking to 35 strangers at the gym,1
how monero's proof of work works,0
gamestop makes $55.5b takeover offer for ebay,1
pyinfra 3.8.0 is out,0
newton's law of gravity passes its biggest test,0
pomiferous: the most extensive apples (pommes) database,0
"i tracked 7,700 uk petrol stations every 10 minutes for 3 months",0
why are neural networks and cryptographic ciphers so similar? (2025),0
trademark violation: fake notepad++ for mac,1
using “underdrawings” for accurate text and numbers,1
alberta voter list leak is a potential public safety disaster,0
world's biggest rc a380 [video],0
texico: learn the principles of programming without even touching a computer,0
byomesh – new lora mesh radio offers 100x the bandwidth,1
dag workflow engine,0
deepclaude – claude code agent loop with deepseek v4 pro,1
someone allegedly used a hairdryer to rig polymarket weather bets,0
discovering hard disk physical geometry through microbenchmarking (2019),0
a treasure trove of fossils rewrites the story of early life,0
southwest headquarters tour,1
"fun with polynomials and linear algebra; or, slight abstract nonsense",0
let's buy spirit air,1
us–indian space mission maps extreme subsidence in mexico city,0
openai’s o1 correctly diagnosed 67% of er patients vs. 50-55% by triage doctors,1
1966 ford mustang converted into a tesla with working 'full self-driving',0
bad connection: global telecom exploitation by covert surveillance actors,0
tar files created on macos display errors when extracting on linux (2024),0
"new statue in london, attributed to banksy, of a suited man, blinded by a flag",1
introduction to atom,0
mercedes-benz commits to bringing back physical buttons,1
a desktop made for one,1
text-to-cad,0
i recreated the apple lisa computer inside an fpga [video],0
k3sup – bootstrap k3s over ssh in < 60s,0
why almost everyone loses–except a few sharks–on prediction markets,0
why tuis are back,1
show hn: ableton live mcp,0
what is z-angle memory and why is intel developing it?,0
show hn: apple's sharp running in the browser via onnx runtime web,0
security through obscurity is not bad,0
the text mode lie: why modern tuis are a nightmare for accessibility,1
i built my own hair electrolysis machine,1
the 'hidden' costs of great abstractions,0
group averages obscure how an individual's brain controls behavior: study,0
denuvo has been cracked in all single-player games it previously protected,1
"roger sweet, creator of the he-man action figure, dies at 91",0
10k+ satellites in space,0
nuclear receptor 4a1 linked to health effects of coffee: study,0
make your own microforest (2025),0
deepseek v4 – almost on the frontier,1
the road to a billion-token context,0
modern jet engine turbines: each blade a single crystal (2015),0
humanoid robot actuators,0
metal gear solid 2's source code has been leaked on 4chan,1
alert-driven monitoring,0
windows quality update: progress we've made since march,0
how far behind is each major chromium browser?,0
"infrasound waves stop kitchen fires, but can they replace sprinklers?",0
microsoft defender wrongly flags digicert certs as trojan:win32/cerdigent.a dha,0
llms are not a higher level of abstraction,0
supercollider,0
a couple million lines of haskell: production engineering at mercury,1
code orange: fail small is complete. the result is a stronger cloudflare network,0
dav2d,1
mathnet:30k competition math problems for ai mathematical reasoning benchmarking,0
underwater robot tracks sperm whale conversations in real time,0
this month in ladybird – april 2026,1
"mommy, are the inspirational stories on linkedin real?",0
the agent harness belongs outside the sandbox,0
clojurists together – q2 2026 open source funding announcement,0
do_not_track,1
cordouan lighthouse,0
collectwise (yc f24) is hiring,0
unsigned sizes: a five year mistake,0
a more efficient implementation of shor's algorithm,0
roblox loses 12m daily users after age id check rollout,0
six years perfecting maps on watchos,1
a physics engine with incremental rollback for multiplayer games,0
barman – backup and recovery manager for postgresql,0
brain scans reveal 3 adhd subtypes,0
buckets and objects are not enough,0
porsche will contest laguna seca in historic colors of the apple computer livery,0
"i'm peter roberts, immigration attorney who does work for yc and startups. ama",0
automatic brightness in plasma,0
over 8m thermos jars and bottles recalled after 3 people lost vision,0
open design: use your coding agent as a design engine,1
talking to transformers,0
broadcasting gps on the local network,0
show hn: i built a risc-v emulator that runs doom,0
why does it take so long to release black fan versions?,1
dotcl: common lisp implementation on .net,0
why are there both tmp and temp environment variables? (2015),0
refusal in language models is mediated by a single direction,0
"show hn: state of the art of coding models, according to hacker news commenters",0
"ai, intimacy, and the data you never meant to share",0
"specsmaxxing – on overcoming ai psychosis, and why i write specs in yaml",1
neanderthals ran 'fat factories' 125k years ago (2025),1
agentic coding is a trap,1
because it doesn't have to,0
united flight collides with truck and pole as it lands at newark,0
nethack 5.0.0,1
little magazines are back,0
"from cvs to git, thirty years of source control",0
"ai deleted my most tests, and said ""all tests pass""",0
"show hn: pollen – distributed wasm runtime, no control plane, single binary",0
show hn: software engineer to novelist: writing a book like coding,0
inventions for battery reuse and recycling increase seven-fold in last decade,1
unverified evaluations in dusk's plonk,0
embedded rust or c firmware? lessons from an industrial microcontroller use case,0
advice i wish i'd been told (1999),0
show hn: dac – open-source dashboard as code tool for agents and humans,0
ghostty is leaving github,1
how kepler built verifiable ai for financial services with claude,0
ti-84 evo,1
utilyze measures how efficiently your gpu is doing useful work,0
zed 1.0,1
when dawkins met claude – could this ai be conscious?,0
dear richard dawkins,0
california to begin ticketing driverless cars that violate traffic laws,1
"how fast is a macos vm, and how small could it be?",1
flue is a typescript framework for building the next generation of agents,0
roblox shares plummet 18% as child safety measures weigh on bookings,1
"dabbling in erlang, part 2: a minimal introduction (2013)",0
talkie: a 13b vintage language model from 1930,1
people who are blind from birth never develop schizophrenia,0
new research suggests people can communicate and practice skills while dreaming,1
"show hn: parrot – a fun, skeuomorphic audio recorder to hear yourself",0
using group theory to explore the space of positional encodings for attention,0
canonical/ubuntu have been under ddos,0
unauthorized macos port claiming don ho as an author?,0
trump administration cites national security in stalling 165 wind farms,0
uber wants to turn its drivers into a sensor grid for self-driving companies,0
running adobe's 1991 postscript interpreter in the browser,0
care homes and hotels in japan shut as expansion strategy unravels,0
simulating cells fighting to the death,0
artemis ii photo timeline,1
minimal fab promoting organization,0
new mechanical panoramic film camera from jeff bridges,1
the usb situation,0
comparing the z80 and 6502 to their relatives,0
the gay jailbreak technique (2025),1
copy fail,1
k3k: kubernetes in kubernetes,0
ask.com has closed,1
can i disable all data collection from my vehicle?,1
systemd-manager-tui: a tui application for managing systemd services,0
performance of a large language model on the reasoning tasks of a physician,0
granite 4.1: ibm's 8b model matching 32b moe,1
understand anything,0
mcdonald's is quietly ending the era of self-serve soda fountains nationwide,0
a network smuggling starlink tech into iran to beat internet blackout,0
vs code inserting 'co-authored-by copilot' into commits regardless of usage,1
ask hn: who wants to be hired? (may 2026),0
cpanel and whm authentication bypass – cve-2026-41940,0
a letter from dijkstra on apl (1982),0
america's expanding domestic surveillance,1
windows api is successful cross-platform api (2024),0
show hn: mljar studio – local ai data analyst that saves analysis as notebooks,0
"show hn: whatcable, a tiny menu bar app for inspecting usb-c cables",1
what can we gain by losing infinity?,0
reverse engineering simtower,1
full-text search with duckdb,0
bitmap and tilemap generation from a single example,0
voice-ai-for-beginners – a curated learning path for developers,0
advanced quantization algorithm for llms,0
debunking the cia's “magic” heartbeat sensor [video],0
"for thirty years i programmed with phish on, every day",1
sfo gate explorer,0
modern c++ programming: busato,0
show hn: ai cad harness,0
breaking up with wordpress after two decades,0
brush a bash/posix-compatible shell written in the rust,0
maryland to ban a.i.-driven price increases in grocery stores,1
does postgres scale?,0
lfm2-24b-a2b: scaling up the lfm2 architecture,0
"sally mckee, who coined the term ""the memory wall"", has died",0
how mark klein told the eff about room 641a [book excerpt],1
show hn: browser-based light pollution simulator using real photometric data,0
shai-hulud themed malware found in the pytorch lightning ai training library,1
"kimi k2.6 just beat claude, gpt-5.5, and gemini in a coding challenge",1
city learns flock accessed cameras in children's gymnastics room as a sales demo,1
spotify adds 'verified' badges to distinguish human artists from ai,1
show hn: filling pdf forms with ai using client-side tool calling,0
"to restore an island paradise, add fungi",0
whimsical animations course open house,0
a primer on bézier curves – so what makes a bézier curve?,0
mozilla's opposition to chrome's prompt api,1
also-rans: asymmetric numeral systems for entropy coding,0
show hn: piruetas – a self-hosted diary app i built for my girlfriend,0
how an oil refinery works,1
lost in translation: the linguistic challenges facing n. korean defectors (2025),0
alignment whack-a-mole: finetuning activates recall of copyrighted books in llms,0
cursor camp,1
american dads became the parents their fathers never were,0
direct electrochemical black coffee quality appraisal using cyclic voltammetry,0
benchmarking a bug scanner,0
"softmax, can you derive the jacobian? and should you care?",0
every american interacting with chatbot would need to upload a government id,0
asu using ai tool to create courses from professors' work without their,0
ask hn: who is hiring? (may 2026),1
show hn: large scale article extract of newspapers 1730s-1960s,0
stackless coroutines for gamedev in ~200 lines of c++,0
'everyone's a line on a spreadsheet:' inside oracle's mass layoffs,0
largest electric autonomous container ship begins commercial service,0
stitch together lots of little html pages with navigations for interactions,0
your website is not for you,1
"for linux kernel vulnerabilities, there is no heads-up to distributions",1
show hn: tyche: an experimental distributed trading pipeline in go java,0
"my favorite device is a chromebook, without chromeos",0
mike: open-source legal ai,0
belgium stops decommissioning nuclear power plants,1
"claude code refuses requests or charges extra if your commits mention ""openclaw""",1
tesla owner won $10k in court for tesla's fsd lies. tesla is still fighting him,1
the smelly baby problem,0
haskell: debugging,0
spain's parliament will act against massive ip blockages by laliga,1
how to build the future: demis hassabis [video],0
opus 4.7 knows the real kelsey,1
noctua releases official 3d cad models for its cooling fans,1
"show hn: hello, world in many different languages",0
ai uses less water than the public thinks,1
apocalypse early warning system,1
roboticist-turned-teacher built a life-size replica of eniac,0
biology is a burrito: a text- and visual-based journey through a living cell,1
10gb/s ethernet: what i did to get it working in my home,1
"interview with josh fisher – inventing vliw, multiflow, itanium, vliw's success [video]",0
an open letter asking nhs england to keep its code open,1
grok 4.3,1
asml became the chokepoint for cutting-edge chips,1
show hn: security scanner for agent skills and mcp,0
ibm granite 4.1 family of models,0
xai is reportedly using just 11% of its 550k nvidia gpus,0
lib0xc: a set of c standard library-adjacent apis for safer systems programming,0
running official arch linux on arm (not to be confused archlinuxarm),0
the rise of emotional surveillance,0
"new copy of earliest poem in english, written 1,3k years ago, discovered in rome",1
"show hn: stop playing my matchstick puzzles, start building your own in seconds",0
github – dos 1.0: transcription of tim paterson's dos printouts,0
you can beat the binary search,1
london to calcutta by bus (2022),0
open source does not imply open community,0
snowball earth may hide a far stranger climate cycle than anyone expected,0
i built a game boy emulator in f#,1
"whohas – command-line utility for cross-distro, cross-repository package search",0
i got sick of remembering port numbers,0
eka’s robotic claw feels like we're approaching a chatgpt moment,0
notes on a non-profit indicted for bank fraud,0
show hn: site mogging,0
"show hn: rust library for undo/redo using deltas, snapshots or commands",0
datacenter.fm – background noise app featuring the sound of the ai bubble,0
"show hn: loopsy, a way for terminals and ai agents on different machines to talk",0
"jensen says nvidia now has '0%' share in china, us export policy 'has backfired'",0
a report on burnout in open source software communities (2025) [pdf],0
the zig project's rationale for their anti-ai contribution policy,1
the church rock uranium mill spill,0
ramp's sheets ai exfiltrates financials,0
first tesla semi rolls off high-volume production line,0
testing macos on the apple network server 2.0 roms,0
monad tutorials timeline,0
1.4 gw: battery storage at former grohnde nuclear power plant,0
a 1960s art school experiment that redefined creativity,0
uae to leave opec,1
github copilot code review will start consuming github actions minutes,1
200 journalists applaud the internet archive's role in preserving public record,0
fastcgi: 30 years old and still the better protocol for reverse proxies,1
maladaptive frugality,1
recovering files from beyond the grave using photorec,0
before github,1
an unknown sega saturn project has come to light after 29 years,0
microsoft and openai end their exclusive and revenue-sharing deal,1
i have officially retired from emacs,1
openwarp,0
my stratum-0 atomic clock,0
soft launch of open-source code platform for government,1
credit cards are vulnerable to brute force kind attacks,1
welcome to hell developer,0
where the goblins came from,1
some important numbers for developers (2018),0
joby kicks off nyc electric air taxi demos with historic jfk flight,0
ai self-preferencing in algorithmic hiring: empirical evidence and insights,1
the hearts of the super nintendo (2024),0
pixel embeddings beat vision encoders for unified understanding and generation,0
apple reports second quarter results,0
ask hn: is the job market actually bad?,0
craig venter has died,1
zugzwang,0
australian police officers can be tracked via taser and body-cam bluetooth,0
consequences of passing too few register parameters to a c function,0
fake notepad++ for mac,0
vibevoice: open-source frontier voice ai,1
i got infected with a crypto-miner via misconfigured qbittorrent,0
executable installer will stop being released with python 3.16,0
i accidentally made law enforcement shut down their fake honeypot,0
learning pseudorandom numbers with transformers,0
i aggregated 28 us government auction sites into one search,1
intel arc pro b70 review,0
simple and correct snapshot isolation,0
bugs rust won't catch,1
urban birds are rising earlier because of traffic noise (2013),0
how many e's are in strawberry?,0
github actions is the weakest link,1
aws stops billing middle east cloud customers as repairs to war damage drag on,0
"""parse, don't validate"" through the years with c++",0
i touched a zx spectrum for the first time in decades,0
virtualisation on apple silicon macs is different,0
opentrafficmap,1
integer overflow checking cost,0
creating a color palette from an image,0
deepseek v4,1
follow-up to carrot disclosure: forgejo,0
an open-source stethoscope that costs between $2.5 and $5 to produce,1
can you find the comet?,0
show hn: perfect bluetooth midi for windows,0
pixijs was killing my video exports. so i rewrote the pipeline in rust,0
"the feed doesn't know you, and youtube refuses to let you browse",0
if i could make my own github,0
simpson's paradox,0
show hn: drive any macos app in the background without stealing the cursor,0
i bought friendster for $30k – here's what i'm doing with it,1
how chatgpt serves ads,1
wyoming celebrates 'nuclear renaissance' as feds approve license for a reactor,0
show hn: live sun and moon dashboard with nasa footage,1
show hn: a new benchmark for testing llms for deterministic outputs,0
"reactos introduces unified live/install media, new storage driver",0
who owns the code claude code wrote?,1
"kyoto cherry blossoms now bloom earlier than at any point in 1,200 years",1
canonical under attack,0
spirit airlines canceled all flights and is going out of business,0
letting ai play my game – building an agentic test harness to help play-testing,0
gpt-5.5,1
the science behind honey's eternal shelf life (2013),0
artemis ii fault tolerance,0
the x-files has made me nostalgic for a time i never experienced,0
"ubuntu servers taken offline by ""sustained, cross-border attack""",0
vera: a programming language designed for machines to write,0
good developers learn to program. most courses teach a language,0
dram crunch: lessons for system design,0
the prompt api,1
"in kannauj, perfumers have been making monsoon-infused mitti attar for centuries",0
auto polo,0
"mo ram, mo problems (2025)",1
laws of ux,1
"show hn: rocky – rust sql engine with branches, replay, column lineage",0
sourcefeed – a pop-up rss service,0
wasm is not quite a stack machine,0
tvheadend: self-hosted iptv server,0
a grounded conceptual model for ownership types in rust,0
gcc 16 has been released,1
chasing a sharedkey signature mismatch: fix azurerm_storage_table_entity,0
screw you realtek,0
how we run iscsi over the internet,0
pgrx: build postgres extensions with rust,0
"simplex channels, simplex network consortium and community crowdfunding",0
postgres's lateral joins allow for quite the good edsl,0
the oscars just banned ai from winning acting and writing awards,0
"cjit: c, just in time",0
hardenedbsd is now officially on radicle,0
a milestone in formalization: the sphere packing problem in dimension 8,0
our agent found a bug with wireguard in google kubernetes engine,0
"meta faces new mexico trial that could force change to facebook, other platforms",0
4tb of voice samples just stolen from 40k ai contractors at mercor,1
"ask hn: those building swift apps without touching xcode, what is your workflow?",0
california man uses elaborate drone show to help delivery drivers find his house,0
compositing and blending – exploring the math and intuition behind blend modes,0
show hn: agent-desktop – native desktop automation cli for ai agents,0
open source ballistic simulator with nasa srtm terrain masking (python/c#),0
music with lyrics interferes with cognitive tasks (2023),0
"ai should elevate your thinking, not replace it",1
"universal patterns emerge across 22 languages, mapping how vocabularies evolve",0
scientists discover 27 potential new planets that orbit two stars,0
hermes.md in commit messages causes requests to route to extra usage billing,1
i wrote ultralearning. this is what i'd change because of ai,0
maryland becomes first state to ban surveillance pricing in grocery stores,1
how semiconductors were made in america,0
at protocol: building the social internet,0
hermit – uniform tooling for linux and mac,0
shoppers falsely identified by facial recognition system,0
improving icu handovers by learning from scuderia ferrari f1 team,0
"nodemind – binary document index, 48× smaller than float32 rag, no gpu required",0
openx32: open linux kernel for behringer x32 mixer,0
"honker – durable queues, streams, pub/sub, and cron scheduler in a sqlite file",1
github copilot is moving to usage-based billing,1
online age verification is the hill to die on,1
the abstraction fallacy: why ai can simulate but not instantiate consciousness,0
"deep under antarctic ice, a long-predicted cosmic whisper breaks through",0
interview with bob odenkirk,0
the claude delusion: richard dawkins believes his ai chatbot is conscious,0
github rce vulnerability: cve-2026-3854 breakdown,1
historic tennessee hotel is also home to the greatest duck tradition (2016),0
show hn: pu.sh – a full coding-agent harness in 400 lines of shell,0
mistral medium 3.5,1
show hn: simdrive – a browser racing game with your phone as the controller:d,0
physical buttons outperform touchscreens in new cars (2023),0
withnail's coat and i,0
using a 1978 terminal in 2026 (dec vt-100),0
the planet is dying but you've got work on monday,0
amazon says restoring damaged middle east cloud operations to take months,0
"oil tanker hijacked off yemen, steers toward somalia",0
create an mp4 video of a web page scrolling at a steady speed,0
show hn: oss agent i built topped the terminalbench on gemini-3-flash-preview,1
job postings for software engineers are rapidly rising,1
an update on github availability,1
gallium oxide electronics withstand extreme cold,0
how people ask claude for personal guidance,0
warm burnout: editor and terminal color scheme,0
low-compilation-cost register allocation in llvm-based binary translation,0
why i still reach for lisp and scheme instead of haskell,1
america's geothermal breakthrough,0
spanish archaeologists discover trove of ancient shipwrecks in bay of gibraltar,0
japan is deploying ultra-cheap cardboard drones built for swarm warfare,0
we need a federation of forges,1
"how i leared what a decoupling capacitor is for, the hard way",0
high performance git,1
show hn: rip.so – a graveyard for dead internet things,0
is my blue your blue? (2024),1
amateur armed with chatgpt solves an erdős problem,1
warp is now open-source,1
scientists create first-ever 'smell map',0
three cruise ship passengers die in suspected hantavirus outbreak,0
regression: malware reminder on every read still causes subagent refusals,1
"about st helena, in the south atlantic ocean",0
your phone is about to stop being yours,1
apple says mac studio and mac mini will be in short supply for months,0
show hn: my private github on postgres,0
“why not just use lean?”,1
making ai chatbots friendly leads to mistakes and support of conspiracy theories,0
openai models coming to amazon bedrock: interview with openai and aws ceos,1
localsend: an open-source cross-platform alternative to airdrop,1
recreating the smells of history,0
find color palettes perfected over 500 years of master painting,0
manual until it hurts,0
business owners are worst clients,0
'like science fiction': how a new wave of immunotherapy is eliminating cancers,0
patch applies fake diffs from commit messages,0
show hn: winpodx – run windows apps on linux as native windows,0
simulacrum of knowledge work,0
mahjong: a visual guide,1
freebsd device drivers book,0
chernobyl wildlife forty years on,0
carrot disclosure: forgejo,0
"show hn: auto-architecture: karpathy's loop, pointed at a cpu",1
how the legal opium market shaped global trade - and led to an opioid crisis,0
nsa warned everyone to reboot their routers,0
china's rare defiance of us sanctions sparks showdown over banks,0
utah to hold websites liable for users who mask their location with vpns,1
super zsnes – gpu powered snes emulator,1
the text mode lie: why modern tuis are a nightmare for accessibility,0
am i the only one who hates delivery robots?,0
a playable doom mcp app,0
waymo in portland,1
laguna xs.2 and m.1,0
apple accidentally left claude.md files apple support app,1
the super nintendo cartridges (2024),0
men who stare at walls,1
aisle discovers 38 cves in openemr healthcare software,0
"facepunch launches s&box, the highly anticipated successor to garry's mod",0
us special forces soldier arrested after allegedly winning $400k on maduro raid,1
"new 10 gbe usb adapters are cooler, smaller, cheaper",1
getting my daily news from a dot matrix printer 2024,0
show hn: i built a museum exhibit,0
how many e's are in the word seventeen [video] (ai hallucination),0
when the cheap one is the cool one,0
fully featured audio dsp firmware for the raspberry pi pico,1
engineering tough blood clots for rapid haemostasis and enhanced regeneration,0
investors pile into clean energy as iran war drives push for energy security,0
radar laboratory – interactive radar phenomenology,0
understanding the llm bubble,0
google and pentagon reportedly agree on deal for 'any lawful' use of ai,1
anomaly detection of private jet flights,0
show hn: clipmon is a macos clipboard manager on steroids,0
voice modems,0
the visible zorker: zork 1,0
asahi linux progress linux 7.0,1
claude.ai unavailable and elevated errors on the api,1
self-updating screenshots,1
tell hn: an update from the new tindie team,0
a beginner's guide to sourcehut (2025),0
hokusai and tesselations,0
functional programmers need to take a look at zig,0
training language models to be warm can reduce accuracy and increase sycophancy,0
"osm-fr panoramax server ""only for testing if outside of france""",0
gtfobins,1
most companies aren't anywhere near ready for ai,0
the rotary un-smartphone (2023),0
i won a championship that doesn't exist,1
"dear friend, you have built a kubernetes (2024)",0
vercel’s pricing page,0
"discret 11, the french tv encryption of the 80s (2020)",0
show hn: trip – a complete transformer engine in c built from scratch just by me,0
three men are facing charges in toronto sms blaster arrests,0
hackers are actively exploiting a bug in cpanel and whm,0
behavioral timescale synaptic plasticity rewires the brain after an experience,0
us supreme court reviews police use of cell location data,1
apple cmf (color-matching functions) 2026,0
using the internet like it's 1999,1
show hn: utilyze – an open source gpu monitoring tool more accurate than nvtop,0
notes on a non-profit indicted for bank fraud,0
